,file_name,measure_name,time_slice_start,time_slice_end,agg_type,measure_value,5.4.1
143,Run 6 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS (1900RPM) 433Kw_47C_4_23_25.csv,PercentLoadAtCurrentSpeed,40,260,st dev,0.0,
144,Run 6 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS (1900RPM) 433Kw_47C_4_23_25_edaq_export.csv,AT_ExThCondt,40,260,max,153.322723388672,
145,Run 6 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS (1900RPM) 433Kw_47C_4_23_25_edaq_export.csv,AT_ExThCondt,40,260,mean,152.924082346092,
146,Run 6 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS (1900RPM) 433Kw_47C_4_23_25_edaq_export.csv,AT_ExThCondt,40,260,min,152.454116821289,
147,Run 6 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS (1900RPM) 433Kw_47C_4_23_25_edaq_export.csv,AT_ExThCondt,40,260,st dev,0.18313597631777057,
148,Run 6 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS (1900RPM) 433Kw_47C_4_23_25_edaq_export.csv,AT_TC_13,40,260,max,241.293029785156,fail
149,Run 6 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS (1900RPM) 433Kw_47C_4_23_25_edaq_export.csv,AT_TC_13,40,260,mean,238.72962095510906,
150,Run 6 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS (1900RPM) 433Kw_47C_4_23_25_edaq_export.csv,AT_TC_13,40,260,min,236.161224365234,
151,Run 6 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS (1900RPM) 433Kw_47C_4_23_25_edaq_export.csv,AT_TC_13,40,260,st dev,1.056754848979628,
152,Run 6 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS (1900RPM) 433Kw_47C_4_23_25_edaq_export.csv,AT_TC_18,40,260,max,220.077514648438,fail
153,Run 6 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS (1900RPM) 433Kw_47C_4_23_25_edaq_export.csv,AT_TC_18,40,260,mean,215.73945576249207,
154,Run 6 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS (1900RPM) 433Kw_47C_4_23_25_edaq_export.csv,AT_TC_18,40,260,min,213.308013916016,
155,Run 6 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS (1900RPM) 433Kw_47C_4_23_25_edaq_export.csv,AT_TC_18,40,260,st dev,1.311894423676728,
156,Run 6 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS (1900RPM) 433Kw_47C_4_23_25_edaq_export.csv,AT_TC_20,40,260,max,172.246200561523,pass
157,Run 6 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS (1900RPM) 433Kw_47C_4_23_25_edaq_export.csv,AT_TC_20,40,260,mean,171.5698822850016,
158,Run 6 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS (1900RPM) 433Kw_47C_4_23_25_edaq_export.csv,AT_TC_20,40,260,min,170.847763061523,
159,Run 6 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS (1900RPM) 433Kw_47C_4_23_25_edaq_export.csv,AT_TC_20,40,260,st dev,0.2820840403609828,
160,Run 6 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS (1900RPM) 433Kw_47C_4_23_25_edaq_export.csv,AT_TC_5,40,260,max,191.790267944336,pass
161,Run 6 Bottom Debris Panel Production Exhaust Tube Wabco App FLRS (1900RPM) 433Kw_47C_4_23_25_edaq_export.csv,AT_TC_5,40,260,mean,191.28691101074224,
